"glytoucan_ac","glycan_type","glycan_type_source","glycan_type_source_id","glycan_subtype","glycan_subtype_source","glycan_subtype_source_id"
"G84712FF","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G17331IX","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G73231OJ","N-linked","Subsumption","G04261UG","Bisected","Subsumption","G04261UG"
"G73231OJ","N-linked","Subsumption","G04261UG","Core-fucosylated","Subsumption","G04261UG"
"G73231OJ","N-linked","Subsumption","G04261UG","Hybrid","Subsumption","G04261UG"
"G49827FL","N-linked","GlycoMotif","GGM.001003","Hybrid","GlycoMotif","GGM.001003"
"G55383ZG","N-linked","Subsumption","G17977UE","Core-fucosylated","Subsumption","G17977UE"
"G55383ZG","Glycosphingolipid","Subsumption","G39655AK","Neo-lacto series","Subsumption","G21362JU"
"G55383ZG","Glycosphingolipid","Subsumption","G39655AK","Lacto series","Subsumption","G39655AK"
"G46946SC","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G46946SC","N-linked","GlycoMotif","GGM.001023","Core-fucosylated","GlycoMotif","GGM.001024"
