"glytoucan_ac","glycan_type","glycan_type_source","glycan_type_source_id","glycan_subtype","glycan_subtype_source","glycan_subtype_source_id"
"G81910FL","Glycosphingolipid","GlycoMotif","GGM.001106","Neo-lacto series","GlycoMotif","GGM.001107"
"G81910FL","Glycosphingolipid","GlycoMotif","GGM.001106","Lacto series","GlycoMotif","GGM.001106"
"G54896CI","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G43454VB","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G43454VB","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G28329XZ","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G02287BL","N-linked","Subsumption","G21167SG","Bisected","Subsumption","G21167SG"
"G02287BL","N-linked","Subsumption","G21167SG","Core-fucosylated","Subsumption","G12036BZ"
"G02287BL","N-linked","Subsumption","G21167SG","Complex","Subsumption","G01308XT"
"G90357WU","Glycosphingolipid","Subsumption","G14815EY","Ganglio series","Subsumption","G14815EY"
"G92378XH","O-linked","GlycoMotif","GGM.001015","Core 6","GlycoMotif","GGM.001015"
"G84977PB","O-linked","Subsumption","G14533ZS","Core 1","Subsumption","G14533ZS"
"G48275DN","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G48275DN","N-linked","GlycoMotif","GGM.001023","Core-fucosylated","GlycoMotif","GGM.001024"
"G48275DN","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G31587OK","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G75655AB","O-linked","GlycoMotif","GGM.001011","Core 4","GlycoMotif","GGM.001011"
"G24315QB","O-linked","GlycoMotif","GGM.001009","Core 6","GlycoMotif","GGM.001015"
"G24315QB","O-linked","GlycoMotif","GGM.001009","Core 3","GlycoMotif","GGM.001009"
"G67384KH","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G21984NX","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G61151LQ","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G61151LQ","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G44027TT","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G44027TT","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G46573CZ","N-linked","Subsumption","G04959WS","Bisected","Subsumption","G04959WS"
"G46573CZ","N-linked","Subsumption","G04959WS","Core-fucosylated","Subsumption","G04959WS"
"G46573CZ","N-linked","Subsumption","G04959WS","Complex","Subsumption","G04959WS"
"G07061BV","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G93526NJ","N-linked","Subsumption","G04410LH","Core-fucosylated","Subsumption","G04410LH"
"G93526NJ","N-linked","Subsumption","G04410LH","Complex","Subsumption","G04410LH"
"G81009UW","Glycosphingolipid","GlycoMotif","GGM.001107","Neo-lacto series","GlycoMotif","GGM.001107"
"G43452DA","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G10386EL","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G03345AP","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G03345AP","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G43680QJ","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G43680QJ","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G06231AO","N-linked","Subsumption","G58114PM","Core-fucosylated","Subsumption","G58114PM"
"G06231AO","N-linked","Subsumption","G58114PM","Hybrid","Subsumption","G58114PM"
"G06231AO","Glycosphingolipid","Subsumption","G14029LK","Neo-lacto series","Subsumption","G01599DL"
"G06231AO","Glycosphingolipid","Subsumption","G14029LK","Lacto series","Subsumption","G14029LK"
"G68828SF","N-linked","GlycoMotif","GGM.001001","","",""
"G11053GQ","N-linked","GlycoMotif","GGM.001022","Truncated","GlycoMotif","GGM.001022"
"G57861RA","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G22519VV","Glycosphingolipid","GlycoMotif","GGM.001106","Neo-lacto series","GlycoMotif","GGM.001107"
"G22519VV","Glycosphingolipid","GlycoMotif","GGM.001106","Lacto series","GlycoMotif","GGM.001106"
"G01718WD","Glycosphingolipid","GlycoMotif","GGM.001108","Ganglio series","GlycoMotif","GGM.001108"
"G64575NF","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G64575NF","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G61842MB","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G61842MB","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G95981KO","O-linked","GlycoMotif","GGM.001006","Core 1","GlycoMotif","GGM.001006"
"G67411ST","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G67411ST","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G13168FX","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G69752OZ","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G42097JO","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G42097JO","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G22500DB","N-linked","Subsumption","G70339XQ","Hybrid","Subsumption","G70339XQ"
"G47043LK","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G47043LK","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
